SMILES,Reward
Cc1c(F)cccc1N1CCN(C(CNC(=O)C(C)Cl)c2ccccc2)CC1,0.444444444
CC(C)NC(=O)c1ccc(CNc2cc(Cl)ccc2N2CCN(C)CC2)cc1,0.444444444
CN(C)c1ccc(C(CNCc2ccncc2)N2CCCN(C(=O)c3ccccc3Cl)CC2)cc1,0.444444444
Cc1cc(NC(=O)CN2CCNCC2)ccc1Cl,0.388888889
Cc1ccc(NC(=O)N2CCNCC2)cc1,0.388888889
Cc1cccc(NC(=O)N2CCNCC2)c1,0.388888889
CN(C)C(=O)c1ccccc1N1CCNCC1,0.388888889
COc1ccc(CNC(=O)N2CCN(c3ccc(F)cc3)CC2)cc1Cl,0.388888889
Cc1ccc(NC(=O)CN2CCN(Cc3ccc(NCc4ccc(N(C)c5ccccc5)cc4)c(Cl)c3)CC2)cc1C,0.388888889
NC(=O)N1CCN(c2cccc(C(F)(F)F)c2)CC1,0.388888889
O=C(Nc1cccc(F)c1)N1CCC(c2ccccc2)CC1,0.388888889
O=C(CCl)Nc1ccccc1N1CCCCC1,0.388888889
CCC(=O)N1CCN(c2ccc(Cl)cc2N)CC1,0.388888889
Nc1cc(Cl)ccc1N1CCN(C(=O)C(F)(F)F)CC1,0.388888889
CC(=O)N1CCN(c2ccc(Cl)cc2N)CC1,0.388888889
NCCCN1CCN(c2ccccc2Cl)CC1,0.388888889
CNC(=O)C(C(C)C)N(C(CCCC#N)c1ccc(C#N)cc1)C(c1ccc(N2CCNCC2)cc1)c1cccc(Cl)c1,0.388888889
CC(Cl)C(=O)NCC(c1ccccc1)N1CCN(c2ccccc2F)CC1,0.388888889
CC(Cl)C(=O)NCC(c1ccccc1)N1CCN(c2ccc(C(F)(F)F)cc2F)CC1,0.388888889
CC(Cl)C(=O)NCC(c1ccccc1)N1CCN(c2cc(F)ccc2F)CC1,0.388888889
CC(Cl)C(=O)NCC(c1ccccc1)N1CCN(c2cccc(F)c2F)CC1,0.388888889
CC(Cl)C(=O)NCC(c1ccccc1)N1CCN(c2c(F)cc(F)cc2F)CC1,0.388888889
CN(C)C(=O)c1cccc(CNc2cc(Cl)ccc2N2CCC(CO)CC2)c1,0.388888889
O=C(CCl)N1CCN(c2ccc(Cl)cc2)CC1,0.388888889
O=C(CCl)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0.388888889
CCN1CCN(c2ccc(C=O)c(Cl)c2)CC1,0.388888889
Nc1ccc(N2CCN(C=O)CC2)c(C(F)(F)F)c1,0.388888889
CC(C)C(C(=O)Nc1ncc(Br)nc1N1CCNCC1)c1ccc(Cl)cc1,0.388888889
CC(=O)Nc1cccc(CN2CCN(c3ccc(Cl)c(F)c3)CC2C)c1,0.388888889
O=C(Nc1ccccc1)N1CCCCCC1C1CCNCC1,0.333333333
O=C(Nc1cccc(C(F)(F)F)c1)N1CCNCC1,0.333333333
O=C(CN1CCNCC1)Nc1ccccc1Cl,0.333333333
Cc1ccc(N2CCNC2=O)cc1Cl,0.333333333
Clc1ccc(N2CCNCC2)cc1Cl,0.333333333
CN1CCN(c2ccc(C(F)(F)F)cc2NC(=O)Nc2ccccc2)CC1,0.333333333
Clc1cccc(Cl)c1N1CCNCC1,0.333333333
Clc1ccc(N2CCNCC2)c(Cl)c1,0.333333333
CNCC(=O)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0.333333333
O=Cc1ccc(N2CCNCC2)c(F)c1,0.333333333
COC(=O)c1ccc(N2CCNCC2)c(Cl)c1,0.333333333
CC(C)c1cccc(N2CCCNC2=O)c1,0.333333333
CCC(=O)N1CCN(c2c(Cl)cccc2NCc2ccccc2NC)CC1,0.333333333
Cc1ccc(CNCC(=O)N2CCN(c3ccccc3F)CC2)c(Cl)c1,0.333333333
NC(=O)C1CCN(c2c(Cl)cncc2Cl)CC1,0.333333333
NC(=O)Nc1ccc(N2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)cc1,0.333333333
