ID,SMILES
R3585,CC=O.COc1ccc(C(=O)[O-])cc1Br>>COc1ccc(C(=O)[O-])cc1C(C)O
R3646,COc1ccc(C(N)=O)cc1.O=C(Cl)COCc1ccccc1>>COc1ccc(C(=O)NC(=O)COCc2ccccc2)cc1
R3707,CN(CC(=O)O)C(=O)OC(C)(C)C.CNc1ncnc(Cl)c1C(=O)CCc1ccccc1>>CN(CC(=O)N(C)c1ncnc(Cl)c1C(=O)CCc1ccccc1)C(=O)OC(C)(C)C
R3781,CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)[C@H](C)O[Si](C)(C)C(C)(C)C>>CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)[C@H](C)O
R3783,CCOC(=O)CNC(=O)OC(C)(C)C.C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)Cl>>CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)[C@H](C)O[Si](C)(C)C(C)(C)C
R3785,COC(=O)[C@H](C)O[Si](C)(C)C(C)(C)C>>C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)O
R3786,C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)O>>C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)Cl
R3789,CNCC(=O)Nn1cnnc1.C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)Cl>>C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)N(C)CC(=O)Nn1cnnc1
R3790,CNCC(=O)Nc1nc(Cl)nc2[nH]cnc12.C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)Cl>>C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12
R3894,CC(C)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12.CC(C)[C@@H](CO)NC(=O)OC(C)(C)C>>CC(C)NCC(=O)Nc1nc(N(C(=O)OC(C)(C)C)[C@H](CO)C(C)C)nc2[nH]cnc12
R4135,NCCO.O=C=O>>O=C(O)NCCO
R4260,CN(CC(=O)Nn1cnnc1)C(=O)OC(C)(C)C>>CNCC(=O)Nn1cnnc1
R4261,CNCC(=O)Nn1cnnc1>>CNCCNn1cnnc1
R4271,COc1ccc(C(=O)O)cc1.O=C(CBr)NCC(=O)Nn1cnnc1>>COc1ccc(C(=O)OCC(=O)NCC(=O)Nn2cnnc2)cc1
