,PC 1,PC 2,Class
432,37.611965,-47.204803,All candidates
433,-58.319565,-18.986582,All candidates
434,4.5713162,78.451614,All candidates
435,-36.83965,-36.767437,All candidates
436,8.177863,-13.605861,All candidates
437,-8.452332,41.25324,All candidates
438,3.6302304,-63.21494,All candidates
439,-60.17769,-24.051662,All candidates
440,-16.438848,71.47636,All candidates
441,19.403772,-30.99975,All candidates
442,-2.046292,73.821594,All candidates
443,3.5389915,79.58208,All candidates
444,-83.23308,1.3014424,All candidates
445,12.235116,7.927267,All candidates
446,-59.905083,-23.069246,All candidates
447,42.462387,-13.299004,All candidates
448,-62.904346,-27.564602,All candidates
449,20.856611,-20.297266,All candidates
450,-58.41415,-19.189249,All candidates
451,56.47031,-22.301373,All candidates
452,-6.3725867,-45.15489,All candidates
453,-68.34004,-19.670732,All candidates
454,-11.334621,29.880928,All candidates
455,43.050026,-23.376816,All candidates
456,36.898117,-32.474255,All candidates
457,-32.828323,26.076664,All candidates
458,1.607102,-66.208275,All candidates
459,-15.849177,-53.621986,All candidates
460,-15.849148,-53.6219,All candidates
461,-17.493063,71.878685,All candidates
462,13.435308,77.15533,All candidates
463,0.7794881,14.576096,All candidates
464,-5.3973103,-43.783607,All candidates
465,-6.3759103,-45.178577,All candidates
466,-62.014275,-29.345709,All candidates
467,-62.016357,-29.345318,All candidates
468,58.20333,-21.095493,All candidates
469,21.528395,17.796705,All candidates
470,0.18392813,10.262738,All candidates
471,13.279793,-48.03613,All candidates
472,42.35401,-44.01695,All candidates
473,12.574721,25.297215,All candidates
474,6.452932,-64.45078,All candidates
475,13.513613,-48.77402,All candidates
476,-19.706532,-69.145256,All candidates
477,31.098257,-35.306957,All candidates
478,-61.325085,-17.328335,All candidates
479,8.014413,76.310234,All candidates
480,7.2243376,-61.104984,All candidates
481,-8.745351,49.31512,All candidates
482,-32.344395,27.570898,All candidates
483,-6.3823304,40.632656,All candidates
484,-7.750009,-41.127857,All candidates
485,-4.1753716,-57.46907,All candidates
486,11.707384,-18.555643,All candidates
487,-62.94816,-29.176857,All candidates
488,36.965668,25.632902,All candidates
489,5.6121907,9.461099,All candidates
490,17.058895,-32.601273,All candidates
491,34.270206,-13.820128,All candidates
492,1.8725398,-5.7826943,All candidates
493,55.44858,-21.9765,All candidates
494,0.97632635,10.230605,All candidates
495,44.184002,-11.113478,All candidates
496,39.973503,44.66319,All candidates
497,-5.5037727,24.079304,All candidates
498,-42.264984,-43.548923,All candidates
499,31.04088,-24.261005,All candidates
